year,round,race_name,circuit_id,circuit_name,date,Other,Race Incident/Crash,Race Status,Technical Failure,Total,Total_Retirements
2014,11,Hungarian Grand Prix,hungaroring,Hungaroring,2014-07-27,0,5,16,1,22,6
2014,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2014-08-24,0,1,17,4,22,5
2014,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2014-09-07,0,1,20,1,22,2
2014,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2014-09-21,0,1,17,4,22,5
2014,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2014-10-05,0,2,19,1,22,3
2014,16,Russian Grand Prix,sochi,Sochi Autodrom,2014-10-12,0,0,19,2,21,2
2014,17,United States Grand Prix,americas,Circuit of the Americas,2014-11-02,0,2,15,1,18,3
2014,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2014-11-09,0,0,17,1,18,1
2014,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2014-11-23,0,0,17,3,20,3
2015,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2015-03-15,3,1,11,3,18,4
2015,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2015-03-29,0,2,15,3,20,5
2015,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2015-04-12,0,0,16,4,20,4
2015,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2015-04-19,0,0,17,3,20,3
2015,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2015-05-10,0,1,18,1,20,2
2015,6,Monaco Grand Prix,monaco,Circuit de Monaco,2015-05-24,0,1,17,2,20,3
2015,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2015-06-07,0,1,17,2,20,3
2015,8,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2015-06-21,0,2,14,4,20,6
2015,9,British Grand Prix,silverstone,Silverstone Circuit,2015-07-05,0,4,13,3,20,7
2015,10,Hungarian Grand Prix,hungaroring,Hungaroring,2015-07-26,0,1,16,3,20,4
2015,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2015-08-23,0,0,14,6,20,6
2015,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2015-09-06,0,2,18,0,20,2
2015,13,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2015-09-20,0,1,14,5,20,6
2015,14,Japanese Grand Prix,suzuka,Suzuka Circuit,2015-09-27,0,1,19,0,20,1
2015,15,Russian Grand Prix,sochi,Sochi Autodrom,2015-10-11,0,4,13,3,20,7
2015,16,United States Grand Prix,americas,Circuit of the Americas,2015-10-25,0,4,12,4,20,8
2015,17,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2015-11-01,0,3,16,1,20,4
2015,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2015-11-15,1,0,18,1,20,1
2015,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2015-11-29,0,1,19,0,20,1
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,0,3,16,3,22,6
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,0,1,17,4,22,5
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,0,0,22,0,22,0
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,0,3,18,1,22,4
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,0,2,17,3,22,5
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,0,6,15,1,22,7
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,0,1,19,2,22,3
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,0,0,18,4,22,4
2016,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2016-07-03,0,0,16,6,22,6
2016,10,British Grand Prix,silverstone,Silverstone Circuit,2016-07-10,0,3,16,3,22,6
2016,11,Hungarian Grand Prix,hungaroring,Hungaroring,2016-07-24,0,0,21,1,22,1
2016,12,German Grand Prix,hockenheimring,Hockenheimring,2016-07-31,0,0,20,2,22,2
2016,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2016-08-28,0,4,17,1,22,5
2016,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2016-09-04,0,2,18,2,22,4
2016,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2016-09-18,1,1,18,2,22,3
2016,16,Malaysian Grand Prix,sepang,Sepang International Circuit,2016-10-02,0,1,16,5,22,6
2016,17,Japanese Grand Prix,suzuka,Suzuka Circuit,2016-10-09,0,0,22,0,22,0
2016,18,United States Grand Prix,americas,Circuit of the Americas,2016-10-23,0,1,18,3,22,4
2016,19,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2016-10-30,0,1,21,0,22,1
2016,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2016-11-13,1,4,16,1,22,5
2016,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2016-11-27,0,1,17,4,22,5
2017,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2017-03-26,0,0,13,7,20,7
2017,2,Chinese Grand Prix,shanghai,Shanghai International Circuit,2017-04-09,0,2,15,3,20,5
2017,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2017-04-16,0,2,13,5,20,7
2017,4,Russian Grand Prix,sochi,Sochi Autodrom,2017-04-30,0,2,16,2,20,4
2017,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2017-05-14,0,3,16,1,20,4
2017,6,Monaco Grand Prix,monaco,Circuit de Monaco,2017-05-28,0,5,13,2,20,7
2017,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2017-06-11,0,2,15,3,20,5
2017,8,Azerbaijan Grand Prix,baku,Baku City Circuit,2017-06-25,0,1,13,6,20,7
2017,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2017-07-09,0,2,16,2,20,4
2017,10,British Grand Prix,silverstone,Silverstone Circuit,2017-07-16,0,1,17,2,20,3
2017,11,Hungarian Grand Prix,hungaroring,Hungaroring,2017-07-30,0,1,16,3,20,4
2017,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2017-08-27,0,1,16,3,20,4
2017,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2017-09-03,0,0,16,4,20,4
2017,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2017-09-17,0,6,12,2,20,8
2017,15,Malaysian Grand Prix,sepang,Sepang International Circuit,2017-10-01,0,0,18,2,20,2
2017,16,Japanese Grand Prix,suzuka,Suzuka Circuit,2017-10-08,0,3,15,2,20,5
2017,17,United States Grand Prix,americas,Circuit of the Americas,2017-10-22,0,1,16,3,20,4
2017,18,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2017-10-29,0,0,15,5,20,5
2017,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2017-11-12,0,3,16,1,20,4
2017,20,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2017-11-26,0,0,18,2,20,2
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2018-03-25,0,0,15,5,20,5
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2018-04-08,0,1,17,2,20,3
2018,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2018-04-15,0,1,19,0,20,1
2018,4,Azerbaijan Grand Prix,baku,Baku City Circuit,2018-04-29,0,7,13,0,20,7
2018,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2018-05-13,0,3,14,3,20,6
2018,6,Monaco Grand Prix,monaco,Circuit de Monaco,2018-05-27,0,2,17,1,20,3
2018,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2018-06-10,0,2,17,1,20,3
2018,8,French Grand Prix,ricard,Circuit Paul Ricard,2018-06-24,0,3,15,2,20,5
2018,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2018-07-01,0,1,14,5,20,6
2018,10,British Grand Prix,silverstone,Silverstone Circuit,2018-07-08,0,3,14,3,20,6
2018,11,German Grand Prix,hockenheimring,Hockenheimring,2018-07-22,0,2,15,3,20,5
2018,12,Hungarian Grand Prix,hungaroring,Hungaroring,2018-07-29,0,0,17,3,20,3
2018,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2018-08-26,0,3,15,2,20,5
2018,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2018-09-02,1,0,16,3,20,3
2018,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2018-09-16,0,1,19,0,20,1
2018,16,Russian Grand Prix,sochi,Sochi Autodrom,2018-09-30,0,0,18,2,20,2
2018,17,Japanese Grand Prix,suzuka,Suzuka Circuit,2018-10-07,0,1,17,2,20,3
2018,18,United States Grand Prix,americas,Circuit of the Americas,2018-10-21,2,3,14,1,20,4
2018,19,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2018-10-28,0,0,16,4,20,4
2018,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2018-11-11,0,1,18,1,20,2
2018,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2018-11-25,0,1,15,4,20,5
2019,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2019-03-17,0,1,17,2,20,3
2019,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2019-03-31,0,2,16,2,20,4
2019,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2019-04-14,0,2,17,1,20,3
2019,4,Azerbaijan Grand Prix,baku,Baku City Circuit,2019-04-28,0,2,16,2,20,4
2019,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2019-05-12,0,2,18,0,20,2
2019,6,Monaco Grand Prix,monaco,Circuit de Monaco,2019-05-26,0,1,19,0,20,1
2019,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2019-06-09,0,1,18,1,20,2
2019,8,French Grand Prix,ricard,Circuit Paul Ricard,2019-06-23,0,0,19,1,20,1
2019,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2019-06-30,0,0,20,0,20,0
2019,10,British Grand Prix,silverstone,Silverstone Circuit,2019-07-14,0,3,17,0,20,3
2019,11,German Grand Prix,hockenheimring,Hockenheimring,2019-07-28,0,5,13,2,20,7
2019,12,Hungarian Grand Prix,hungaroring,Hungaroring,2019-08-04,0,0,19,1,20,1
2019,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2019-09-01,0,2,16,2,20,4
2019,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2019-09-08,0,0,17,3,20,3
2019,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2019-09-22,0,2,17,1,20,3
2019,16,Russian Grand Prix,sochi,Sochi Autodrom,2019-09-29,0,2,15,3,20,5
2019,17,Japanese Grand Prix,suzuka,Suzuka Circuit,2019-10-13,2,0,17,1,20,1
2019,18,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2019-10-27,1,0,18,1,20,1
2019,19,United States Grand Prix,americas,Circuit of the Americas,2019-11-03,0,0,16,4,20,4
2019,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2019-11-17,0,2,16,2,20,4
2019,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2019-12-01,0,0,19,1,20,1
2020,1,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2020-07-05,0,0,11,9,20,9
2020,2,Styrian Grand Prix,red_bull_ring,Red Bull Ring,2020-07-12,0,2,17,1,20,3
2020,3,Hungarian Grand Prix,hungaroring,Hungaroring,2020-07-19,0,0,19,1,20,1
2020,4,British Grand Prix,silverstone,Silverstone Circuit,2020-08-02,0,2,17,1,20,3
2020,5,70th Anniversary Grand Prix,silverstone,Silverstone Circuit,2020-08-09,0,1,19,0,20,1
2020,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2020-08-16,0,0,19,1,20,1
2020,7,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2020-08-30,0,2,17,1,20,3
2020,8,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2020-09-06,0,1,16,3,20,4
2020,9,Tuscan Grand Prix,mugello,Autodromo Internazionale del Mugello,2020-09-13,0,7,12,1,20,8
2020,10,Russian Grand Prix,sochi,Sochi Autodrom,2020-09-27,0,2,18,0,20,2
2020,11,Eifel Grand Prix,nurburgring,Nürburgring,2020-10-11,0,1,15,4,20,5
2020,12,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,2020-10-25,0,1,19,0,20,1
2020,13,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2020-11-01,1,2,15,2,20,4
2020,14,Turkish Grand Prix,istanbul,Istanbul Park,2020-11-15,1,2,16,1,20,3
2020,15,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2020-11-29,0,2,17,1,20,3
2020,16,Sakhir Grand Prix,bahrain,Bahrain International Circuit,2020-12-06,0,2,17,1,20,3
2020,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2020-12-13,0,0,19,1,20,1
2021,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2021-03-28,0,2,16,2,20,4
2021,2,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2021-04-18,0,3,16,1,20,4
2021,3,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,2021-05-02,0,1,19,0,20,1
2021,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2021-05-09,0,0,19,1,20,1
2021,5,Monaco Grand Prix,monaco,Circuit de Monaco,2021-05-23,0,0,18,2,20,2
2021,6,Azerbaijan Grand Prix,baku,Baku City Circuit,2021-06-06,0,2,16,2,20,4
2021,7,French Grand Prix,ricard,Circuit Paul Ricard,2021-06-20,0,0,20,0,20,0
2021,8,Styrian Grand Prix,red_bull_ring,Red Bull Ring,2021-06-27,0,1,18,1,20,2
2021,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2021-07-04,0,2,18,0,20,2
2021,10,British Grand Prix,silverstone,Silverstone Circuit,2021-07-18,0,1,18,1,20,2
2021,11,Hungarian Grand Prix,hungaroring,Hungaroring,2021-08-01,1,6,13,0,20,6
2021,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2021-08-29,0,0,20,0,20,0
2021,13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2021-09-05,0,0,17,3,20,3
2021,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2021-09-12,0,2,15,3,20,5
2021,15,Russian Grand Prix,sochi,Sochi Autodrom,2021-09-26,0,1,18,1,20,2
2021,16,Turkish Grand Prix,istanbul,Istanbul Park,2021-10-10,0,0,20,0,20,0
2021,17,United States Grand Prix,americas,Circuit of the Americas,2021-10-24,0,0,17,3,20,3
2021,18,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2021-11-07,0,2,18,0,20,2
2021,19,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2021-11-14,0,1,18,1,20,2
2021,20,Qatar Grand Prix,losail,Losail International Circuit,2021-11-21,0,2,18,0,20,2
2021,21,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2021-12-05,0,5,15,0,20,5
2021,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2021-12-12,1,1,14,4,20,5
2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2022-03-20,0,0,17,3,20,3
2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2022-03-27,1,2,13,4,20,6
2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2022-04-10,0,2,17,1,20,3
2022,4,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2022-04-24,0,2,18,0,20,2
2022,5,Miami Grand Prix,miami,Miami International Autodrome,2022-05-08,0,3,15,2,20,5
2022,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2022-05-22,0,0,18,2,20,2
2022,7,Monaco Grand Prix,monaco,Circuit de Monaco,2022-05-29,0,1,17,2,20,3
2022,8,Azerbaijan Grand Prix,baku,Baku City Circuit,2022-06-12,0,0,15,5,20,5
2022,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2022-06-19,0,1,17,2,20,3
2022,10,British Grand Prix,silverstone,Silverstone Circuit,2022-07-03,0,4,14,2,20,6
2022,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2022-07-10,0,1,17,2,20,3
2022,12,French Grand Prix,ricard,Circuit Paul Ricard,2022-07-24,0,3,16,1,20,4
2022,13,Hungarian Grand Prix,hungaroring,Hungaroring,2022-07-31,0,0,19,1,20,1
2022,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2022-08-28,0,2,18,0,20,2
2022,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2022-09-04,0,0,18,2,20,2
2022,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2022-09-11,0,0,16,4,20,4
2022,17,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2022-10-02,0,4,14,2,20,6
2022,18,Japanese Grand Prix,suzuka,Suzuka Circuit,2022-10-09,0,1,18,1,20,2
2022,19,United States Grand Prix,americas,Circuit of the Americas,2022-10-23,0,3,17,0,20,3
2022,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2022-10-30,0,1,18,1,20,2
2022,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2022-11-13,0,2,17,1,20,3
2022,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2022-11-20,0,1,17,2,20,3
2023,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2023-03-05,0,0,17,3,20,3
2023,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2023-03-19,0,0,18,2,20,2
2023,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2023-04-02,0,7,12,1,20,8
2023,4,Azerbaijan Grand Prix,baku,Baku City Circuit,2023-04-30,0,1,18,1,20,2
2023,5,Miami Grand Prix,miami,Miami International Autodrome,2023-05-07,0,0,20,0,20,0
2023,6,Monaco Grand Prix,monaco,Circuit de Monaco,2023-05-28,0,2,18,0,20,2
2023,7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2023-06-04,0,0,20,0,20,0
2023,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2023-06-18,0,0,18,2,20,2
2023,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2023-07-02,0,0,19,1,20,1
2023,10,British Grand Prix,silverstone,Silverstone Circuit,2023-07-09,0,1,17,2,20,3
2023,11,Hungarian Grand Prix,hungaroring,Hungaroring,2023-07-23,0,3,17,0,20,3
2023,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2023-07-30,0,2,18,0,20,2
2023,13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2023-08-27,0,2,17,1,20,3
2023,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2023-09-03,0,0,18,2,20,2
2023,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2023-09-17,1,2,15,2,20,4
2023,16,Japanese Grand Prix,suzuka,Suzuka Circuit,2023-09-24,0,4,15,1,20,5
2023,17,Qatar Grand Prix,losail,Losail International Circuit,2023-10-08,1,1,17,1,20,2
2023,18,United States Grand Prix,americas,Circuit of the Americas,2023-10-22,2,1,15,2,20,3
2023,19,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2023-10-29,1,3,15,1,20,4
2023,20,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2023-11-05,0,2,14,4,20,6
2023,21,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,2023-11-19,0,1,17,2,20,3
2023,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2023-11-26,0,1,19,0,20,1
2024,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2024-03-02,0,0,20,0,20,0
2024,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2024-03-09,0,1,18,1,20,2
2024,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2024-03-24,0,1,16,2,19,3
2024,4,Japanese Grand Prix,suzuka,Suzuka Circuit,2024-04-07,0,2,17,1,20,3
2024,5,Chinese Grand Prix,shanghai,Shanghai International Circuit,2024-04-21,0,1,17,2,20,3
2024,6,Miami Grand Prix,miami,Miami International Autodrome,2024-05-05,0,1,19,0,20,1
2024,7,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2024-05-19,0,1,19,0,20,1
2024,8,Monaco Grand Prix,monaco,Circuit de Monaco,2024-05-26,0,4,16,0,20,4
2024,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2024-06-09,0,4,15,1,20,5
2024,10,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2024-06-23,0,0,20,0,20,0
2024,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2024-06-30,0,0,20,0,20,0
2024,12,British Grand Prix,silverstone,Silverstone Circuit,2024-07-07,0,0,18,2,20,2
2024,13,Hungarian Grand Prix,hungaroring,Hungaroring,2024-07-21,0,0,19,1,20,1
2024,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2024-07-28,1,0,18,1,20,1
2024,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2024-08-25,0,0,20,0,20,0
2024,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2024-09-01,0,0,19,1,20,1
2024,17,Azerbaijan Grand Prix,baku,Baku City Circuit,2024-09-15,0,2,16,2,20,4
2024,18,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2024-09-22,0,1,18,1,20,2
2024,19,United States Grand Prix,americas,Circuit of the Americas,2024-10-20,0,1,19,0,20,1
2024,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2024-10-27,0,2,17,1,20,3
2024,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2024-11-03,3,2,15,0,20,2
2024,22,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,2024-11-23,0,0,18,2,20,2
2024,23,Qatar Grand Prix,losail,Losail International Circuit,2024-12-01,0,5,15,0,20,5
2024,24,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2024-12-08,0,2,16,2,20,4
